city,state,pop
Gulfport,MS,71856
Hamilton,OH,62407
Hammond,IN,77614
Hampton,VA,136454
Hanford,CA,55659
Harlingen,TX,65774
Harrisonburg,VA,52538
Hartford,CT,124006
Haverhill,MA,62765
Hawthorne,CA,88451
Hayward,CA,158289
Hemet,CA,83861
Hempstead,NY,55547
Henderson,NV,285667
Hendersonville,TN,56018
Hesperia,CA,93295
Hialeah,FL,237069
High Point,NC,110268
Highland,CA,54854
Hillsboro,OR,102347
Hoboken,NJ,53635
Hoffman Estates,IL,52138
Hollywood,FL,149728
Homestead,FL,66498
Hoover,AL,84848
Houston,TX,2296224
Huntersville,NC,52704
Huntington Beach,CA,201899
Huntington Park,CA,59430
Huntsville,AL,190582
Idaho Falls,ID,59184
Independence,MO,117255
Indianapolis,IN,853173
Indio,CA,87533
Inglewood,CA,111666
Iowa City,IA,74220
Irvine,CA,256927
Irving,TX,236607
Jackson,MS,170674
Jackson,TN,66975
Jacksonville,FL,868031
Jacksonville,NC,67357
Janesville,WI,64123
Jersey City,NJ,264290
Johns Creek,GA,83335
Johnson City,TN,66027
Joliet,IL,147861
Jonesboro,AR,73907
Joplin,MO,51818
Jupiter,FL,62707
Jurupa Valley,CA,100314
Kalamazoo,MI,76041
Kansas City,KS,151306
Kansas City,MO,475378
Kenner,LA,67091
Kennewick,WA,78896
Kenosha,WI,99858
Kent,WA,126952
Kentwood,MI,51357
Kettering,OH,55525
Killeen,TX,140806
Kingsport,TN,53014
Kirkland,WA,87281
Kissimmee,FL,69152
Knoxville,TN,185291
Kokomo,IN,57995
La Crosse,WI,52306
La Habra,CA,62131
La Mesa,CA,60089
Lafayette,IN,71111
Lafayette,LA,127657
Laguna Niguel,CA,65806
Lake Charles,LA,76070
Lake Elsinore,CA,61981
Lake Forest,CA,82492
Lake Havasu City,AZ,53553
Lakeland,FL,104401
Lakeville,MN,60633
Lakewood,CA,81611
Lakewood,CO,152597
Lakewood,OH,50656
Lakewood,WA,59829
Lancaster,CA,161103
Lancaster,PA,59339
Lansing,MI,115056
Laredo,TX,255473
Largo,FL,81000
Las Cruces,NM,101643
Las Vegas,NV,623747
Lauderhill,FL,71579
Lawrence,KS,93917
Lawrence,MA,80231
Lawton,OK,96655
Layton,UT,74143
League City,TX,98312
Lee's Summit,MO,95094
Leesburg,VA,51209
Lehi,UT,58486
Lenexa,KS,52490
Lewisville,TX,104039
Lexington,KY,314488
Lincoln,NE,277348
Little Rock,AR,197992
Livermore,CA,88126
Livonia,MI,94635
Lodi,CA,64596
Logan,UT,50371
Long Beach,CA,474140
Longmont,CO,92088
Longview,TX,82287
Lorain,OH,63647
Los Angeles,CA,3971883
Louisville,KY,615366
Loveland,CO,75182
Lowell,MA,110699
Lubbock,TX,249042
Lynchburg,VA,79812
Lynn,MA,92457
Lynwood,CA,71989
Macon,GA,153515
Madera,CA,64208
Madison,WI,248951
Malden,MA,61068
Manchester,NH,110229
Manhattan,KS,56308
Mansfield,TX,64274
Manteca,CA,75448
Maple Grove,MN,68385
Margate,FL,57234
Marietta,GA,59067
Marysville,WA,66773
McAllen,TX,140269
McKinney,TX,162898
Medford,MA,57403
Medford,OR,79805
Melbourne,FL,80127
Memphis,TN,655770
Menifee,CA,87174
Merced,CA,82436
Meriden,CT,59988
Meridian,ID,90739
Mesa,AZ,471825
Mesquite,TX,144788
Miami Beach,FL,92312
Miami Gardens,FL,113187
Miami,FL,441003
Midland,TX,132950
Midwest City,OK,57249
Milford,CT,52087
Milpitas,CA,77604
Milwaukee,WI,600155
Minneapolis,MN,410939
Minnetonka,MN,51669
Miramar,FL,137132
Mission Viejo,CA,97156
Mission,TX,83298
Missoula,MT,71022
Missouri City,TX,74139
Mobile,AL,194288
Modesto,CA,211266
Montebello,CA,63921
Monterey Park,CA,61468
Montgomery,AL,200602
Moore,OK,60451
Moreno Valley,CA,204198
Mount Pleasant,SC,81317
Mount Prospect,IL,54747
Mount Vernon,NY,68628
Mountain View,CA,80435
Muncie,IN,70087
Murfreesboro,TN,126118
Murrieta,CA,109830
Nampa,ID,89839
Napa,CA,80434
Naperville,IL,147100
Nashua,NH,87970
Nashville,TN,654610
National City,CA,61060
New Bedford,MA,94958
New Braunfels,TX,70543
New Britain,CT,72808
New Brunswick,NJ,57035
New Haven,CT,130322
New Orleans,LA,389617
New Rochelle,NY,79846
New York,NY,8550405
Newark,NJ,281944
Newport Beach,CA,87127
Newport News,VA,182385
Newton,MA,88817
Noblesville,IN,59093
Norfolk,VA,246393
Normal,IL,54373
Norman,OK,120284
North Charleston,SC,108304
North Las Vegas,NV,234807
North Little Rock,AR,66504
North Miami,FL,62435
North Port,FL,62345
North Richland Hills,TX,69204
Norwalk,CA,107140
Norwalk,CT,88485
Novato,CA,55530
Novi,MI,58723
O'Fallon,MO,85040
Oak Lawn,IL,56781
Oak Park,IL,52287
Oakland,CA,419267
Ocala,FL,58218
Oceanside,CA,175691
Odessa,TX,118968
Ogden,UT,85444
Oklahoma City,OK,631346
Olathe,KS,134305
Olympia,WA,50302
Omaha,NE,443885
Ontario,CA,171214
Orange,CA,140992
Orem,UT,94457
Orland Park,IL,58619
Orlando,FL,270934
Oshkosh,WI,66555
Overland Park,KS,186515
Owensboro,KY,59042
Oxnard,CA,207254
Palatine,IL,69308
Palm Bay,FL,107888
Palm Beach Gardens,FL,52923
Palm Coast,FL,82893
Palm Desert,CA,51869
Palmdale,CA,158351
Palo Alto,CA,66853
Paramount,CA,55412
Parma,OH,79937
Pasadena,CA,142250
Pasadena,TX,153784
Pasco,WA,69451
Passaic,NJ,71085
Paterson,NJ,147754
Pawtucket,RI,71591
Peabody,MA,52504
Pearland,TX,108821
Pembroke Pines,FL,166611
Pensacola,FL,53193
Peoria,AZ,171237
Peoria,IL,115070
Perris,CA,74971
Perth Amboy,NJ,52682
Petaluma,CA,60438
Pflugerville,TX,57122
Pharr,TX,76538
Philadelphia,PA,1567442
Phoenix,AZ,1563025
Pico Rivera,CA,64218
Pinellas Park,FL,51617
Pittsburg,CA,69424
Pittsburgh,PA,304391
Placentia,CA,52495
Plainfield,NJ,51217
Plano,TX,283558
Plantation,FL,92560
Pleasanton,CA,79510
Plymouth,MN,75907
Pocatello,ID,54441
Pomona,CA,153266
Pompano Beach,FL,107762
Pontiac,MI,59917
Port Arthur,TX,55340
Port Orange,FL,59866
Port St. Lucie,FL,179413
Porterville,CA,56058
Portland,ME,66881
Portland,OR,632309
Portsmouth,VA,96201
Poway,CA,50157
Providence,RI,179207
Provo,UT,115264
Pueblo,CO,109412
Quincy,MA,93618
Racine,WI,77742
Raleigh,NC,451066
Rancho Cordova,CA,71017
Rancho Cucamonga,CA,175236
Rapid City,SD,73569
Reading,PA,87879
Redding,CA,91582
Redlands,CA,71035
Redmond,WA,60598
Redondo Beach,CA,68166
Redwood City,CA,85288
Reno,NV,241445
Renton,WA,100242
Revere,MA,53422
Rialto,CA,103132
Richardson,TX,110815
Richland,WA,54248
Richmond,CA,109708
Richmond,VA,220289
Rio Rancho,NM,94171
Riverside,CA,322424
Roanoke,VA,99897
Rochester Hills,MI,73424
Rochester,MN,112225
Rochester,NY,209802
Rock Hill,SC,71548
Rockford,IL,148278
Rocklin,CA,61213
Rockville,MD,66980
Rocky Mount,NC,55806
Rogers,AR,63159
Rosemead,CA,54908
Roseville,CA,130269
Roswell,GA,94501
Round Rock,TX,115997
Rowlett,TX,60236
Royal Oak,MI,59008
Sacramento,CA,490712
Salem,OR,164549
Salinas,CA,157380
Salt Lake City,UT,192672
Sammamish,WA,52253
San Angelo,TX,100450
San Antonio,TX,1469845
San Bernardino,CA,216108
San Buenaventura,CA,109708
San Clemente,CA,65526
San Diego,CA,1394928
San Francisco,CA,864816
San Jose,CA,1026908
San Leandro,CA,90712
San Marcos,CA,92931
San Marcos,TX,60684
San Mateo,CA,103536
San Rafael,CA,59162
San Ramon,CA,76134
Sandy Springs,GA,105330
Sandy,UT,93613
Sanford,FL,58111
Santa Ana,CA,335400
Santa Barbara,CA,91842
Santa Clara,CA,126215
Santa Clarita,CA,182371
Santa Cruz,CA,64220
Santa Fe,NM,84099
Santa Maria,CA,105093
Santa Monica,CA,93220
Santa Rosa,CA,174972
Santee,CA,57787
